Term Code Admit,Univ Id,Student
201915,121,Theressa Welberry
201915,122,Hasheem Mordanti
201915,123,Tony Blanckley
201915,124,Leo Adie
201915,125,Johna Wabersinke
201915,126,Uriah McMorland
201915,127,Barbabra Prickett
201915,128,Laure Dennerley
201915,129,Orion Bernardinelli
201915,130,Cilka Collison
201915,131,Milena Devorill
201915,132,Annette Poltun
201915,133,Deirdre Czajka
201915,134,Cherlyn Allaway
201915,135,Donielle Caught
201915,136,Valida Arrigucci
201915,137,Lexine Silverstone
201915,138,Norean Stooke
201915,139,Jeannie Tewkesbury.
201915,140,Sebastian Castellanos
201915,141,Danya MacLardie
201915,142,Renee Lowes
201915,143,Leese Laslett
201915,144,Roslyn Nye
201915,145,Kathe Balke
201915,146,Mord Gierardi
201915,147,Pammi Gabriel
201915,148,Micheal Kintish
201915,149,Janine Grindley
201915,150,Dorella Craister
201915,151,Nixie Pinchon
201915,152,Paloma Pinkard
201915,153,Ferne Triggle
201915,154,Pammie Rorke
201915,155,Laryssa Corragan
201915,156,Aurora Leban
201915,157,Hebert McGauhy
201915,158,Riccardo Doni
201915,159,Joyous Breakwell
201915,160,Hamnet Bernardelli
201915,161,Isahella Boatwright
201915,162,Ynes Best
201915,163,Norton Havis
201915,164,Marylee Orritt
201915,165,Harriett Juara
201915,166,Bengt Paulon
201915,167,Diannne Gayle
201915,168,Maxine Yakobowitch
201915,169,Devonne Kleinber
201915,170,Augusto Gilardengo
201915,171,Dottie Ludovici
201915,172,Arden Baildon
201915,173,Marissa Johann
201915,174,Issy Gouldsmith
201915,175,Burnard Taft
201915,176,Jodie Fenelon
201915,177,Dukey Patifield
201915,178,Mitch Lebrun
201915,179,Wenda Murphey
201915,180,Stanislas Fearfull
201915,181,Fionna Heiton
201915,182,Sven Garrigan
201915,183,Greggory Bye
201915,184,Catarina Baumaier
201915,185,Markos Radcliffe
201915,186,Tore Sleeman
201915,187,Peggi Baggarley
201915,188,Barri Northridge
201915,189,Luther Brigginshaw
201915,190,Elyssa Stutely
201915,191,Gregorius Inkster
201915,192,Harmonia Hrinchishin
201915,193,Miran Gibson
201915,194,Dana Miche
201915,195,Rodrique Courtin
201915,196,Janice McCartan
201915,197,Reynard Yitzowitz
201915,198,Nicol Sherrin
201915,199,Ralph Redsell
201915,200,Ediva Ruben
201915,201,Wolfy Tilsley
201915,202,Flori Mose
201915,203,Mill Yoakley
201915,204,Hyacinthie Goodsir
201915,205,Florenza Godfrey
201915,206,Towny Lightwing
201915,207,Thedric Corday
201915,208,Jerald Carous
201915,209,Sile Palffrey
201915,210,Lester Showl
201915,211,Emlynne Leahy
201915,212,Tammara Pickhaver
201915,213,Vanya Delph
201915,214,Lulu Petrescu
201915,215,Rooney Rawe
201915,216,Farrell Headley
201915,217,Vickie Hubbard
201915,218,Ingar Pocknoll
201915,219,Gonzalo Eaton
201915,220,Clary Meiklejohn
201915,221,Carter Dine-Hart
201915,222,Stacy Westbrook
201915,223,Gael Rate
201915,224,Skelly Huggons
201915,225,Ophelia Greedy
201915,226,Adolphe Birdall
201915,227,Agnola Paton
201915,228,Ettie Prewett
201915,229,Erin Muttitt
201915,230,Constantine Murname
201915,231,Vivian Matuschek
201915,232,Valeda Feenan
201915,233,Judon Schirak
201915,234,Barbi Stanyon
201915,235,Fleur Gorghetto
201915,236,Thorin Heugel
201915,237,Barnie Hardwick
201915,238,Walliw Rizzelli
201915,239,Bald Vernazza
201915,240,Farrand Maggs
201915,241,Eberhard Goodrum
201915,242,Filip Bulter
201915,243,Tomasina Altree
201915,244,Chance Parrott
201915,245,Duffie Teek
201915,246,Alley Goacher
201915,247,Slade Lewcock
201915,248,Maxim Avrahamof
201915,249,Carri Greedier
201915,250,Park Sailer
201915,251,Filip Whotton
201915,252,Drucill Bollin
201915,253,Othilie Sullens
201915,254,Myrwyn Kassidy
201915,255,Vania Bessett
201915,256,Alva Grebert
201915,257,Renie McNeil
201915,258,Erick Gallard
201915,259,Hugues Hendrichs
201915,260,Merralee Chatwin
201915,261,Chane Wands
201915,262,Darlleen Riddock
201915,263,Alika Gavaghan
201915,264,Annabela O'Mullaney
201915,265,Sibby Rahill
201915,266,Jarad Kettlestringes
201915,267,Waring Runcieman
201915,268,Karoly Roth
201915,269,Tammy Summerfield
201915,270,Micky Bontein
201915,271,Adelice Gandley
201915,272,Zaneta Holburn
201915,273,Jane Tichelaar
201915,274,Gottfried Red
201915,275,Neale McGiveen
201915,276,Jerri Wynrehame
201915,277,Pooh Dellenbrok
201915,278,Margarete Crumby
201915,279,Brod Talby
201915,280,Matthieu Huntley
201915,281,Dacy Clementi
201915,282,Lark Godney
201915,283,Trescha Tremathack
201915,284,Rollin Burtonwood
201915,285,Raleigh Gostridge
201915,286,Riva Ingraham
201915,287,Rebbecca Littrik
201915,288,Lemmy Critch
201915,289,Donelle Nelles
201915,290,Bary Follan
201915,291,Rhonda Burrass
201915,292,Papagena Larratt
201915,293,Harris Walsh
201915,294,Marlena Izac
201915,295,Ki Mary
201915,296,Isa Panchin
201915,297,Bat Minshall
201915,298,Balduin Jansik
201915,299,Sinclare Striker
201915,300,Gaspard Tonkin
201915,301,Dar Cymper
201915,302,Peri Klisch
201915,303,Kaila Harnor
201915,304,Pren Soldi
201915,305,Katharina Dewitt
201915,306,Marilyn Featherston
201915,307,Tasia Gilliland
201915,308,Eleonora Whitwam
201915,309,Leupold Rockhall
201915,310,Marlow Naismith
201915,311,Jobina Aps
201915,312,Gertrud Fenny
201915,313,Ranna Meininking
201915,314,Wheeler Joust
201915,315,Solly Guterson
201915,316,Patrice Bim
201915,317,Raynell Symonds
201915,318,Ellette Fairlie
201915,319,Chucho Onians
201915,320,Bibby Lackmann
201915,321,Kevina Willets
201915,322,Ginni Emerton
201915,323,Chance Fishwick
201915,324,Nicole Burk
201915,325,June Sprosson
201915,326,Krishnah Gilyott
201915,327,Alexandro Studdert
201915,328,Barth Sapauton
201915,329,Esme Hastewell
201915,330,Ethan Kitteringham
201915,331,Mercedes Tremmel
201915,332,Sergeant Redit
201915,333,Adda Lakey
201915,334,Viole Kettlesing
201915,335,Alfy Osbourne
201915,336,Elysee Harty
201915,337,Janessa Rich
201915,338,Brande Menlove
201915,339,Dermot Pinar
201915,340,Madelle Fakes
201915,341,Henry Geerdts
201915,342,Brianna Libreros
201915,343,Kylynn Kimbury
201915,344,Stern Romi
201915,345,Dulsea Lindsley
201915,346,Alejoa Tydd
201915,347,Sherwood Peggrem
201915,348,Rafaelita Christal
201915,349,Napoleon Bengal
201915,350,Wendall Rattray
201915,351,Tedd Lethlay
201915,352,Dasya Lawrenceson
201915,353,Rois McPike
201915,354,Melosa Defau
201915,355,Kelbee Cullinan
201915,356,Giavani Cauldwell
201915,357,Sapphire Gohier
201915,358,Dino Fairlamb
201915,359,Lorraine Cometti
201915,360,Karita Lamprecht
201915,361,Almire Frotton
201915,362,Libbi Sonnenschein
201915,363,Charmane Tellenbrok
201915,364,Camey Giordano
201915,365,Nikoletta O' Kelleher
201915,366,Fabian Rubinow
201915,367,Judi Harcourt
201915,368,Anjanette Garlett
201915,369,Melli Bentsen
201915,370,Agnes Byles
201915,371,Alyda Parysowna
201915,372,Korry Bedlington
201915,373,Lennard Badgers
201915,374,Beverlie Bentson
201915,375,Lenore Nockles
201915,376,Karmen Scutts
201915,377,Arnold Liddiatt
201915,378,Reuven Joslyn
201915,379,Avis Tunnick
201915,380,Ashli McKirdy
201915,381,Corette Sommerling
201915,382,Sly Darnbrook
201915,383,Lesley Kiendl
201915,384,Robby Skirrow
201915,385,Joshia Woodlands
201915,386,Waldo Atcheson
201915,387,Sly Scutt
201915,388,Giralda Stafford
201915,389,Zed Roffe
201915,390,Riva Bust
201915,391,Penny Pinkstone
201915,392,Chet Lemonnier
201915,393,Cymbre Mowlam
201915,394,Pavlov Frid
201915,395,Gert Kelleher
201915,396,Magdalene Orgel
201915,397,Ax Picot
201915,398,Francyne Burner
201915,399,Nikos Longhurst
201915,400,Cleve Pringour
201915,401,Chloe Sheerin
201915,402,Cybil Weekland
201915,403,Guinevere Poile
201915,404,Raphaela Lerego
201915,405,Jania McWhinnie
201915,406,Berkeley Entwistle
201915,407,Balduin Trowbridge
201915,408,Claudette Dougherty
201915,409,Joye Bette
201915,410,Rhianna Ivashnikov
201915,411,Eli Lorkings
201915,412,Roda Woodfine
201915,413,Kessiah Farrears
201915,414,Myles Medford
201915,415,Flora Fishly
201915,416,Ailee Bodycomb
201915,417,Delainey Godbehere
201915,418,Amery Burkitt
201915,419,Vanda Croll
201915,420,Inna Retchless
201915,421,Colin Laidel
201915,422,Thaine Bushby
201915,423,Dian Ellaway
201915,424,Nikki Knutsen
201915,425,Nadeen Potzold
201915,426,Francisca Hansod
201915,427,Annalise Fereday
201915,428,Adela Foat
201915,429,Bran Effnert
201915,430,Lammond Addams
201915,431,Tallou Mileham
201915,432,Hector Hulkes
201915,433,Pattin Kornes
201915,434,Jolee Foulser
201915,435,Reinold Cabbell
201915,436,Nedda Ibeson
201915,437,Leeanne McKomb
201915,438,Kath Greenard
201915,439,Quinlan Sprull
201915,440,Kerrill Loade
201915,441,Marja Astlatt
201915,442,Aksel Shepley
201915,443,Fraser Siggery
201915,444,Pearline Farraway
201915,445,Saree Moodie
201915,446,Lou Menezes
201915,447,Alastair Vanyukov
201915,448,Weidar Derle
201915,449,Lucais Scardifield
201915,450,Clarine Peasby
201915,451,Vite Gartin
201915,452,Faunie Phebey
201915,453,Philis Shawdforth
201915,454,Julee Jouannisson
201915,455,Muriel Crosi
201915,456,Madelon Moat
201915,457,Megen Bagniuk
201915,458,Dannel Prigg
201915,459,Orella Tennison
201915,460,Granthem Giffin
201915,461,Donny Riepl
201915,462,Linette Mecozzi
201915,463,Lorianne Endean
201915,464,Carlotta Remnant
201915,465,Darlene Van Ross
201915,466,Arnuad Fibbens
201915,467,Thomasine Bycraft
201915,468,Phil Kinnerley
201915,469,Vernon Filson
201915,470,Mona Pellitt
201915,471,Natty Cogger
201915,472,Bill Gilburt
201915,473,Archibold Humfrey
201915,474,Emory Castaneda
201915,475,Aurea Kenington
201915,476,Raphael Witcombe
201915,477,Casie Wackly
201915,478,Lianna Ismay
201915,479,Tad Errichi
201915,480,Deva Evensden
201915,481,Penny MacNeill
201915,482,Cherida Mc Kellen
201915,483,Saleem Sadat
201915,484,Kalinda Adrianello
201915,485,Fidelity Laffin
201915,486,Gayleen Goodbur
201915,487,Waylan Barthot
201915,488,Claybourne Pochin
201915,489,Jesus Eggar
201915,490,Elaina Yurshev
201915,491,Kent Lushey
201915,492,Kendell Kagan
201915,493,Maurie Littlejohns
201915,494,Shaylynn Merrifield
201915,495,Gretchen Lupson
201915,496,Wilburt O'Fallowne
201915,497,Orella Kempson
201915,498,Hillyer Hillyatt
201915,499,Gayleen Rustadge
201915,500,Concettina Chatteris
